replica	analysis	section	series	kind	coordinate	coordinate_y	value	unit	coordinate_unit	source
SYNTHETIC_replica_1	SYNTHETIC RMSD	protein backbone	RMSD	timeseries	0		1.3177925	angstrom	time (ns)	raw/SYNTHETIC_replica_1/rmsd.dat
SYNTHETIC_replica_1	SYNTHETIC RMSD	protein backbone	RMSD	timeseries	0.02		1.3431605	angstrom	time (ns)	raw/SYNTHETIC_replica_1/rmsd.dat
SYNTHETIC_replica_1	SYNTHETIC RMSD	protein backbone	RMSD	timeseries	0.04		1.3657237	angstrom	time (ns)	raw/SYNTHETIC_replica_1/rmsd.dat
SYNTHETIC_replica_1	SYNTHETIC RMSD	protein backbone	RMSD	timeseries	0.06		1.373976	angstrom	time (ns)	raw/SYNTHETIC_replica_1/rmsd.dat
SYNTHETIC_replica_1	SYNTHETIC RMSD	protein backbone	RMSD	timeseries	0.08		1.3890648	angstrom	time (ns)	raw/SYNTHETIC_replica_1/rmsd.dat
SYNTHETIC_replica_1	SYNTHETIC RMSD	protein backbone	RMSD	timeseries	0.1		1.3951596	angstrom	time (ns)	raw/SYNTHETIC_replica_1/rmsd.dat
SYNTHETIC_replica_1	SYNTHETIC RMSD	protein backbone	RMSD	timeseries	0.12		1.3888508	angstrom	time (ns)	raw/SYNTHETIC_replica_1/rmsd.dat
SYNTHETIC_replica_1	SYNTHETIC RMSD	protein backbone	RMSD	timeseries	0.14		1.4139003	angstrom	time (ns)	raw/SYNTHETIC_replica_1/rmsd.dat
SYNTHETIC_replica_1	SYNTHETIC RMSD	protein backbone	RMSD	timeseries	0.16		1.4148309	angstrom	time (ns)	raw/SYNTHETIC_replica_1/rmsd.dat
SYNTHETIC_replica_1	SYNTHETIC RMSD	protein backbone	RMSD	timeseries	0.18		1.4276333	angstrom	time (ns)	raw/SYNTHETIC_replica_1/rmsd.dat
SYNTHETIC_replica_1	SYNTHETIC RMSD	protein backbone	RMSD	timeseries	0.2		1.4560931	angstrom	time (ns)	raw/SYNTHETIC_replica_1/rmsd.dat
SYNTHETIC_replica_1	SYNTHETIC RMSD	protein backbone	RMSD	timeseries	0.22		1.4656059	angstrom	time (ns)	raw/SYNTHETIC_replica_1/rmsd.dat
SYNTHETIC_replica_1	SYNTHETIC RMSD	protein backbone	RMSD	timeseries	0.24		1.4865045	angstrom	time (ns)	raw/SYNTHETIC_replica_1/rmsd.dat
