time (ns)	SYNTHETIC_replica_1	SYNTHETIC_replica_2	SYNTHETIC_replica_3
0	1.3177925	1.4684714	1.3884388
0.02	1.3431605	1.4910803	1.3772464
0.04	1.3657237	1.4881575	1.3646979
0.06	1.373976	1.4931961	1.3752826
0.08	1.3890648	1.5008128	1.3923867
0.1	1.3951596	1.4860104	1.3942772
0.12	1.3888508	1.4820286	1.4214824
0.14	1.4139003	1.4886656	1.4377625
0.16	1.4148309	1.4946973	1.485282
0.18	1.4276333	1.5154	1.5038089
0.2	1.4560931	1.5153371	1.5193702
0.22	1.4656059	1.5205545	1.5059138
0.24	1.4865045	1.5111004	1.5097724
0.26	1.470907	1.5166067	1.508499
0.28	1.4691637	1.5159775	1.4968121
0.3	1.4749738	1.5276987	1.4730048
0.32	1.4883537	1.5328543	1.4640331
0.34	1.5010124	1.5356489	1.4384101
0.36	1.5172678	1.5487866	1.4315042
0.38	1.5178117	1.5399685	1.4368192
0.4	1.5477824	1.5530383	1.4139998
0.42	1.5428721	1.5454429	1.4030719
0.44	1.5435746	1.5119375	1.420981
0.46	1.5338377	1.5235699	1.4367378
0.48	1.5660716	1.5110498	1.4331977
0.5	1.5996406	1.4911852	1.4352941
0.52	1.6174769	1.4988731	1.4454015
0.54	1.619682	1.5147855	1.4694695
0.56	1.6428177	1.5116892	1.4768536
0.58	1.6295078	1.4960969	1.4589753
0.6	1.6306753	1.5011645	1.4261672
0.62	1.6149602	1.5029676	1.4484219
0.64	1.6060099	1.4970453	1.4508782
0.66	1.6050431	1.5063901	1.4484958
0.68	1.6196282	1.5217011	1.4224714
0.7	1.6027476	1.5333981	1.4502793
0.72	1.5885846	1.5446705	1.4746181
0.74	1.5789954	1.5349368	1.5078343
0.76	1.566611	1.5261153	1.4816443
0.78	1.5444957	1.5161049	1.4922559
0.8	1.5564606	1.5342787	1.5174646
0.82	1.5474548	1.5513138	1.5432056
0.84	1.5316798	1.5128173	1.5527842
0.86	1.5325681	1.5309846	1.585969
0.88	1.534214	1.5212617	1.6170819
0.9	1.5189142	1.4935385	1.6581218
0.92	1.5058789	1.4793058	1.6555193
0.94	1.4920953	1.4767602	1.6381711
0.96	1.484624	1.4444785	1.6467438
0.98	1.4972495	1.4779665	1.6718989
1	1.5059053	1.4836072	1.7056549
1.02	1.4815083	1.4606585	1.7014946
1.04	1.5095575	1.4355419	1.7218642
1.06	1.5430723	1.4435596	1.7096425
1.08	1.5508305	1.4435365	1.7156002
1.1	1.5325426	1.4709343	1.7131609
1.12	1.5161322	1.4924333	1.7118593
1.14	1.5059786	1.4989115	1.7008006
1.16	1.518075	1.5176465	1.7175091
1.18	1.4995383	1.5605448	1.7264173
1.2	1.4983332	1.5415619	1.7359576
1.22	1.4901013	1.5701363	1.7156785
1.24	1.4930969	1.5653357	1.7335977
1.26	1.4466341	1.561708	1.7327402
1.28	1.4198382	1.5798774	1.7365053
1.3	1.4394073	1.5679705	1.7352805
1.32	1.4772544	1.5341105	1.7460135
1.34	1.49235	1.5278565	1.7712948
1.36	1.4883556	1.5462289	1.7866997
1.38	1.4795978	1.5480131	1.7910302
1.4	1.5147419	1.5532598	1.7659328
1.42	1.5090874	1.5390725	1.7914173
1.44	1.4831013	1.5307969	1.8262599
1.46	1.5031667	1.5534387	1.8535166
1.48	1.5188794	1.5867671	1.8462411
1.5	1.5136728	1.5775888	1.8348216
1.52	1.5030925	1.6015057	1.8697989
1.54	1.4591629	1.6379393	1.8645649
1.56	1.4356638	1.6483896	1.8585704
1.58	1.4620146	1.659188	1.8494495
