time (ns)	SYNTHETIC_replica_1	SYNTHETIC_replica_2	SYNTHETIC_replica_3
0	0	0	0
0.02	0	0	0
0.04	0	0	0
0.06	0	0	0
0.08	0	0	0
0.1	0	0	0
0.12	0	0	0
0.14	0	0	0
0.16	0	0	0
0.18	0	0	0
0.2	0	0	0
0.22	0	0	0
0.24	0	0	0
0.26	0	0	0
0.28	0	0	0
0.3	0	0	0
0.32	0	0	0
0.34	0	0	0
0.36	0	0	0
0.38	0	0	0
0.4	0	0	0
0.42	0	0	0
0.44	0	0	0
0.46	0	0	0
0.48	0	0	0
0.5	0	0	0
0.52	0	0	0
0.54	0	0	0
0.56	0	0	0
0.58	0	0	0
0.6	0	0	0
0.62	0	0	0
0.64	0	0	0
0.66	0	0	0
0.68	0	0	0
0.7	0	0	0
0.72	0	0	0
0.74	0	0	0
0.76	0	0	0
0.78	1	0	0
0.8	1	0	0
0.82	1	0	0
0.84	1	0	0
0.86	1	0	0
0.88	1	1	0
0.9	1	1	0
0.92	1	1	0
0.94	1	1	0
0.96	1	1	0
0.98	1	1	1
1	1	1	1
1.02	1	1	1
1.04	1	1	1
1.06	1	1	1
1.08	1	1	1
1.1	1	1	1
1.12	1	1	1
1.14	1	1	1
1.16	1	1	1
1.18	1	1	1
1.2	1	1	1
1.22	1	1	1
1.24	1	1	1
1.26	1	1	1
1.28	1	1	1
1.3	1	1	1
1.32	1	1	1
1.34	1	1	1
1.36	1	1	1
1.38	1	1	1
1.4	1	1	1
1.42	1	1	1
1.44	1	1	1
1.46	1	1	1
1.48	1	1	1
1.5	1	1	1
1.52	1	1	1
1.54	1	1	1
1.56	1	1	1
1.58	2	1	1
1.6	2	1	1
1.62	2	1	1
1.64	2	1	1
1.66	2	1	1
1.68	2	1	1
1.7	2	1	1
1.72	2	1	1
1.74	2	1	1
1.76	2	1	1
1.78	2	2	1
1.8	2	2	1
1.82	2	2	1
1.84	2	2	1
1.86	2	2	1
1.88	2	2	1
1.9	2	2	1
1.92	2	2	1
1.94	2	2	1
1.96	2	2	1
1.98	2	2	2
2	2	2	2
2.02	2	2	2
2.04	2	2	2
2.06	2	2	2
2.08	2	2	2
2.1	2	2	2
2.12	2	2	2
2.14	2	2	2
2.16	2	2	2
2.18	2	2	2
2.2	2	2	2
2.22	2	2	2
2.24	2	2	2
2.26	2	2	2
2.28	2	2	2
2.3	2	2	2
2.32	2	2	2
2.34	2	2	2
2.36	2	2	2
2.38	0	2	2
2.4	0	2	2
2.42	0	2	2
2.44	0	2	2
2.46	0	2	2
2.48	0	2	2
2.5	0	2	2
2.52	0	2	2
2.54	0	2	2
2.56	0	2	2
2.58	0	2	2
2.6	0	2	2
2.62	0	2	2
2.64	0	2	2
2.66	0	2	2
2.68	0	0	2
2.7	0	0	2
2.72	0	0	2
2.74	0	0	2
2.76	0	0	2
2.78	0	0	2
2.8	0	0	2
2.82	0	0	2
2.84	0	0	2
2.86	0	0	2
2.88	0	0	2
2.9	0	0	2
2.92	0	0	2
2.94	0	0	2
2.96	0	0	2
2.98	0	0	0
3	0	0	0
3.02	0	0	0
3.04	0	0	0
3.06	0	0	0
3.08	0	0	0
3.1	0	0	0
3.12	0	0	0
3.14	0	0	0
3.16	0	0	0
3.18	1	0	0
3.2	1	0	0
3.22	1	0	0
3.24	1	0	0
3.26	1	0	0
3.28	1	0	0
3.3	1	0	0
3.32	1	0	0
3.34	1	0	0
3.36	1	0	0
3.38	1	0	0
3.4	1	0	0
3.42	1	0	0
3.44	1	0	0
3.46	1	0	0
3.48	1	0	0
3.5	1	0	0
3.52	1	0	0
3.54	1	0	0
3.56	1	0	0
3.58	1	1	0
3.6	1	1	0
3.62	1	1	0
3.64	1	1	0
3.66	1	1	0
3.68	1	1	0
3.7	1	1	0
3.72	1	1	0
3.74	1	1	0
3.76	1	1	0
3.78	1	1	0
3.8	1	1	0
3.82	1	1	0
3.84	1	1	0
3.86	1	1	0
3.88	1	1	0
3.9	1	1	0
3.92	1	1	0
3.94	1	1	0
