time (ns)	SYNTHETIC_replica_1	SYNTHETIC_replica_2	SYNTHETIC_replica_3
0	18.232464	18.289397	18.324811
0.02	18.242184	18.271654	18.316836
0.04	18.203909	18.252425	18.328432
0.06	18.222919	18.252233	18.315486
0.08	18.268669	18.286246	18.285756
0.1	18.218663	18.261742	18.314625
0.12	18.242095	18.299312	18.319634
0.14	18.215612	18.274375	18.331473
0.16	18.241008	18.263606	18.325219
0.18	18.237673	18.304929	18.287879
0.2	18.215658	18.268147	18.313301
0.22	18.208728	18.233705	18.289721
0.24	18.232558	18.257487	18.318253
0.26	18.240902	18.26301	18.315588
0.28	18.190907	18.210694	18.261359
0.3	18.198784	18.262462	18.31931
0.32	18.251602	18.268918	18.299641
0.34	18.19854	18.24289	18.27338
0.36	18.202747	18.225794	18.285435
0.38	18.213437	18.238683	18.29293
0.4	18.166107	18.267988	18.261703
0.42	18.210549	18.228971	18.291583
0.44	18.187312	18.219074	18.280769
0.46	18.174866	18.215722	18.280707
0.48	18.197168	18.214836	18.323405
0.5	18.148861	18.227125	18.253786
0.52	18.192391	18.218707	18.234182
0.54	18.141387	18.200386	18.252401
0.56	18.135542	18.19264	18.254673
0.58	18.15231	18.16698	18.220408
0.6	18.145497	18.184744	18.237618
0.62	18.116524	18.188571	18.232758
0.64	18.131723	18.148797	18.229608
0.66	18.152075	18.179446	18.232746
0.68	18.110512	18.179121	18.221551
0.7	18.142677	18.169253	18.192867
0.72	18.109334	18.144272	18.187973
0.74	18.106587	18.152937	18.165262
0.76	18.101267	18.154673	18.164813
0.78	18.093695	18.102471	18.18278
0.8	18.124938	18.116541	18.195994
0.82	18.095377	18.135413	18.161267
0.84	18.069189	18.119377	18.18079
0.86	18.059994	18.131769	18.13655
0.88	18.045964	18.140485	18.172064
0.9	18.043651	18.061204	18.122395
0.92	18.044787	18.083854	18.112499
0.94	18.092044	18.08295	18.09952
0.96	18.036792	18.034943	18.118712
0.98	18.043439	18.088769	18.122611
1	18.068316	18.106101	18.083536
1.02	18.008978	18.083328	18.121581
1.04	18.022046	18.065974	18.101351
1.06	17.988541	18.025906	18.106669
1.08	18.00639	18.038743	18.11264
1.1	18.017423	18.021506	18.062381
1.12	17.980911	18.034488	18.081285
1.14	18.006153	18.012966	18.069069
1.16	18.010514	18.00305	18.038518
1.18	17.926349	17.998868	18.021034
1.2	17.970443	18.012546	18.041623
1.22	17.973135	17.983482	18.028863
1.24	17.924818	17.989002	18.011257
1.26	17.922094	17.971407	18.034467
1.28	17.934468	17.993321	18.062707
1.3	17.950379	17.996167	18.0189
1.32	17.93866	17.966511	18.004518
1.34	17.953327	17.965119	17.986258
1.36	17.950809	17.959463	17.992477
1.38	17.940104	17.967898	17.996509
1.4	17.911715	17.902296	18.001755
1.42	17.871051	17.969353	17.982711
1.44	17.89701	17.961866	17.986043
1.46	17.902658	17.937413	17.976417
1.48	17.89115	17.927154	17.976921
1.5	17.907644	17.930409	17.952695
1.52	17.867801	17.913124	17.978938
1.54	17.866391	17.920026	17.977223
1.56	17.869307	17.907946	17.948409
1.58	17.861117	17.927333	17.94385
1.6	17.864328	17.913617	17.914308
1.62	17.890327	17.935447	17.901043
1.64	17.853957	17.920868	17.917692
1.66	17.877625	17.906803	17.941396
1.68	17.850598	17.891482	17.927339
1.7	17.831318	17.860977	17.947532
1.72	17.839512	17.865495	17.914986
1.74	17.863431	17.874809	17.919875
1.76	17.861434	17.896877	17.916546
1.78	17.899597	17.877656	17.897051
1.8	17.830467	17.897921	17.972609
1.82	17.839949	17.85307	17.93223
1.84	17.826892	17.872399	17.946798
1.86	17.837593	17.89342	17.912871
1.88	17.847013	17.869933	17.931225
1.9	17.816934	17.859193	17.881765
1.92	17.845545	17.855205	17.87345
1.94	17.818012	17.869323	17.918453
1.96	17.858059	17.912334	17.923534
1.98	17.8262	17.878357	17.895097
2	17.809971	17.892786	17.917806
2.02	17.863711	17.882008	17.948995
2.04	17.850092	17.846735	17.915065
2.06	17.820934	17.826544	17.923103
2.08	17.86436	17.884479	17.898137
2.1	17.858836	17.870073	17.910333
2.12	17.878092	17.851198	17.949998
2.14	17.84608	17.882665	17.927292
2.16	17.876679	17.888465	17.910387
2.18	17.874265	17.914574	17.943953
2.2	17.838086	17.875285	17.960767
2.22	17.895552	17.930721	17.946782
2.24	17.877983	17.937598	17.94516
2.26	17.901738	17.931353	17.96709
2.28	17.850272	17.876798	17.96631
2.3	17.862187	17.894346	17.976402
2.32	17.866529	17.928976	17.965516
2.34	17.866438	17.909301	17.932479
2.36	17.920856	17.944223	17.960817
2.38	17.899472	17.911809	17.987198
2.4	17.895501	17.906137	17.931881
2.42	17.889071	17.978487	17.973929
2.44	17.882908	17.950757	17.965566
2.46	17.926601	17.910605	17.966333
2.48	17.901647	17.921435	17.979633
2.5	17.907881	17.970498	17.976822
2.52	17.90736	17.987357	17.997907
2.54	17.937735	18.000762	18.025019
2.56	17.956883	17.969019	17.984036
2.58	17.918223	17.997438	18.029899
2.6	17.950398	17.99996	18.008979
2.62	17.95884	18.021405	18.040661
2.64	17.938235	17.962118	17.993392
2.66	17.973477	17.996318	18.047753
2.68	18.005291	18.004095	18.069767
2.7	17.996191	18.015495	18.049527
2.72	17.956209	18.014532	18.069806
2.74	17.971905	18.051753	18.076352
2.76	17.970576	18.031421	18.069286
2.78	17.962781	18.07764	18.064533
2.8	18.02023	18.018656	18.083056
2.82	17.987215	18.055254	18.047783
2.84	18.012056	18.045311	18.077831
2.86	18.059052	18.038775	18.101457
2.88	18.083655	18.075709	18.120235
2.9	18.03526	18.076497	18.132624
2.92	18.051091	18.074036	18.127262
2.94	18.063086	18.095071	18.117612
2.96	18.023698	18.08785	18.121544
2.98	18.089021	18.111406	18.121714
3	18.082943	18.111351	18.165693
3.02	18.083076	18.138534	18.141302
3.04	18.06049	18.128767	18.164796
3.06	18.092883	18.135717	18.200467
3.08	18.108808	18.138384	18.203084
3.1	18.107759	18.156238	18.178108
3.12	18.086723	18.159377	18.163476
3.14	18.127413	18.183765	18.238427
3.16	18.135104	18.141428	18.203461
3.18	18.138105	18.150281	18.184489
3.2	18.172996	18.188522	18.212174
3.22	18.13509	18.169799	18.211873
3.24	18.148308	18.197141	18.23006
3.26	18.173548	18.201737	18.241793
3.28	18.141874	18.170974	18.238445
3.3	18.17917	18.209762	18.22212
3.32	18.180053	18.164536	18.220474
3.34	18.151205	18.236911	18.212282
3.36	18.167731	18.184437	18.255668
3.38	18.220555	18.202753	18.271347
3.4	18.180858	18.207249	18.239982
3.42	18.184583	18.23175	18.265369
3.44	18.165631	18.247463	18.278393
3.46	18.175791	18.213499	18.267927
3.48	18.19344	18.245985	18.265556
3.5	18.186613	18.250722	18.29903
3.52	18.204371	18.25035	18.306438
3.54	18.215698	18.260155	18.314098
3.56	18.175138	18.218139	18.284084
3.58	18.180791	18.254837	18.307528
3.6	18.193726	18.260278	18.293755
3.62	18.236905	18.268628	18.309791
3.64	18.223275	18.27122	18.341659
3.66	18.259699	18.299628	18.302789
3.68	18.206715	18.260833	18.291863
3.7	18.221396	18.269588	18.306479
3.72	18.188852	18.269744	18.321781
3.74	18.237886	18.276658	18.30256
3.76	18.282168	18.257171	18.327427
3.78	18.214935	18.298514	18.337133
3.8	18.235961	18.283857	18.308695
3.82	18.233428	18.307924	18.276429
3.84	18.260355	18.264137	18.32176
3.86	18.210022	18.25011	18.322877
3.88	18.231534	18.338162	18.321603
3.9	18.205792	18.276988	18.322056
3.92	18.248253	18.263092	18.317387
3.94	18.24719	18.302326	18.334462
3.96	18.230622	18.268788	18.314623
3.98	18.214437	18.285243	18.332265
4	18.243297	18.258079	18.327344
4.02	18.236044	18.272155	18.357693
4.04	18.263649	18.259501	18.275092
4.06	18.242336	18.231738	18.347645
4.08	18.258451	18.248122	18.307475
4.1	18.216086	18.273224	18.318177
4.12	18.247614	18.279183	18.281507
4.14	18.227764	18.279911	18.265656
4.16	18.222693	18.259651	18.283693
4.18	18.190358	18.249357	18.301433
4.2	18.175034	18.265507	18.278785
4.22	18.17061	18.209859	18.285948
4.24	18.230898	18.233805	18.317348
4.26	18.242286	18.227133	18.304291
4.28	18.181574	18.222628	18.251159
4.3	18.193125	18.242252	18.264639
4.32	18.19347	18.234341	18.268565
4.34	18.151791	18.223949	18.265954
4.36	18.190515	18.210672	18.290102
4.38	18.187894	18.181889	18.239298
4.4	18.195763	18.239033	18.263337
4.42	18.203239	18.214869	18.235416
4.44	18.202238	18.168045	18.24447
4.46	18.174204	18.210416	18.254921
4.48	18.162751	18.15802	18.249738
4.5	18.144096	18.173319	18.212647
4.52	18.136312	18.190849	18.197405
4.54	18.1447	18.198403	18.208819
4.56	18.115975	18.185797	18.184386
4.58	18.122477	18.152587	18.213798
4.6	18.108572	18.124954	18.249757
4.62	18.122004	18.153312	18.201185
4.64	18.119516	18.119831	18.190699
4.66	18.105039	18.171716	18.175737
4.68	18.134854	18.128444	18.182282
4.7	18.086586	18.119873	18.156345
4.72	18.049412	18.116681	18.150024
4.74	18.050723	18.110288	18.169275
4.76	18.083797	18.100445	18.163249
4.78	18.056321	18.114612	18.158506
4.8	18.069166		18.141459
4.82	18.059523		18.14272
4.84	18.067454		18.117658
4.86	18.039742		18.112081
4.88	18.034597		18.131525
4.9	17.993963		18.100787
4.92	17.991836		18.064738
4.94	18.022203		18.0643
