lag_analyzed_frames	lag_coordinate	acf
0	0.0	1.0
1	0.02	0.98498698542995
2	0.04	0.9683031854351479
3	0.06	0.9502639242213546
4	0.08	0.9323513631991242
5	0.1	0.9136879891738786
6	0.12	0.8939055958399847
7	0.14	0.8746103142849311
8	0.16	0.8557199662741025
9	0.18	0.8368649102620304
10	0.2	0.8173956790109733
11	0.22	0.7982384131936554
12	0.24	0.7835579982285288
13	0.26	0.7672143996995416
14	0.28	0.7502759716008446
15	0.3	0.733014405422024
16	0.32	0.7148780095332329
17	0.34	0.6961342933191187
18	0.36	0.6744796445811078
19	0.38	0.6517920662237195
20	0.4	0.6284256043924588
21	0.42	0.6039764707259621
22	0.44	0.5785461238471044
23	0.46	0.5532077327679596
24	0.48	0.5285289916762878
25	0.5	0.5032246839396323
26	0.52	0.47668727229272606
27	0.54	0.4499122772858475
28	0.56	0.4235551450947899
29	0.58	0.39749386214043514
30	0.6	0.37005509124524044
31	0.62	0.3426412524805455
32	0.64	0.3160266207132082
33	0.66	0.28952167552166264
34	0.68	0.2626423795685503
35	0.7000000000000001	0.2345717159270549
36	0.72	0.2077162219855846
37	0.74	0.18125560001352908
38	0.76	0.15530231393051214
39	0.78	0.12868610729552743
40	0.8	0.10366530688250786
41	0.8200000000000001	0.07988834871924372
42	0.84	0.055805230929520826
43	0.86	0.03222682877554241
44	0.88	0.00959306523009443
45	0.9	-0.011401864036454584
46	0.92	-0.03092847600058102
47	0.9400000000000001	-0.05082996793930912
48	0.96	-0.07035709543419902
49	0.98	-0.08848643571747669
50	1.0	-0.10606643439634098
51	1.02	-0.12299842187469812
52	1.04	-0.13996265175247827
53	1.06	-0.15482674434310406
54	1.08	-0.17066434415425769
55	1.1	-0.1861343066928932
56	1.12	-0.20171249199684407
57	1.1400000000000001	-0.21595491268927497
58	1.16	-0.22965823502033753
59	1.18	-0.2423657133019845
60	1.2	-0.2552023553020486
61	1.22	-0.2666332636212682
62	1.24	-0.27834414285795467
63	1.26	-0.2894775180214838
64	1.28	-0.30094291825124453
65	1.3	-0.3109449680150696
66	1.32	-0.3202558526089
67	1.34	-0.3284007023457053
68	1.36	-0.3356836999480215
69	1.3800000000000001	-0.34213460900015885
70	1.4000000000000001	-0.34756622598007175
71	1.42	-0.3529324978498522
72	1.44	-0.3572195430868968
73	1.46	-0.3590211420706168
74	1.48	-0.3576156929100653
75	1.5	-0.3557727087901689
76	1.52	-0.35408168343868385
77	1.54	-0.3503968978974511
78	1.56	-0.34672620906444934
79	1.58	-0.34276517427110403
80	1.6	-0.3393793477122057
81	1.62	-0.3361151173998534
82	1.6400000000000001	-0.33155450879656656
83	1.6600000000000001	-0.3270755330198908
84	1.68	-0.3228135359260555
85	1.7	-0.3176216589125799
86	1.72	-0.3110643615606728
87	1.74	-0.3021408506415904
88	1.76	-0.2936694953428205
89	1.78	-0.2853235918472255
90	1.8	-0.27586248264599733
91	1.82	-0.263637201844493
92	1.84	-0.25144919666266197
93	1.86	-0.23755002436470393
94	1.8800000000000001	-0.22216395966254784
95	1.9000000000000001	-0.20673798527146922
96	1.92	-0.19367580162176265
97	1.94	-0.1802742498768262
98	1.96	-0.1674193736097363
99	1.98	-0.15442476611486308
100	2.0	-0.14038377472106478
101	2.02	-0.12750425061216852
102	2.04	-0.11443236366258039
103	2.06	-0.09961796775863734
104	2.08	-0.08572392774539177
105	2.1	-0.07258263799306792
106	2.12	-0.0581893221991244
107	2.14	-0.043444624527187635
108	2.16	-0.02878620764042021
109	2.18	-0.014873333443574959
110	2.2	-5.4993254575818197e-05
111	2.22	0.014552039069481116
112	2.24	0.02954752656866275
113	2.2600000000000002	0.04344597406042791
114	2.2800000000000002	0.05630119878150825
115	2.3000000000000003	0.06861229015415322
116	2.32	0.07962420164996992
117	2.34	0.08997159291158234
118	2.36	0.10053999488154222
119	2.38	0.11036766180100845
120	2.4	0.12122686831506149
121	2.42	0.12918161047716237
122	2.44	0.13769913329731176
123	2.46	0.14708073120772364
124	2.48	0.15645538759889308
125	2.5	0.16493754646303294
126	2.52	0.17263139746569056
