lag_analyzed_frames	lag_coordinate	acf
0	0.0	1.0
1	0.02	0.985418803598241
2	0.04	0.9717443913362275
3	0.06	0.9592078469194885
4	0.08	0.9442557178635683
5	0.1	0.9284514244364821
6	0.12	0.9109457971713328
7	0.14	0.8905547413128128
8	0.16	0.8700845022875997
9	0.18	0.85031814524813
10	0.2	0.8290422621412115
11	0.22	0.8077078947154585
12	0.24	0.7922643701735821
13	0.26	0.7761585363844484
14	0.28	0.7595365060444351
15	0.3	0.7430557276438502
16	0.32	0.7259585992638288
17	0.34	0.7088818966650298
18	0.36	0.693737584549406
19	0.38	0.6791728253056061
20	0.4	0.6652617877255129
21	0.42	0.6507447866903172
22	0.44	0.6344653675259101
23	0.46	0.6189491163175148
24	0.48	0.6038978896291265
25	0.5	0.5877411862033822
26	0.52	0.5715874776816663
27	0.54	0.5561301424752358
28	0.56	0.5414235633211191
29	0.58	0.5252868108493685
30	0.6	0.5074633285373082
31	0.62	0.4872382138596583
32	0.64	0.4684015645244316
33	0.66	0.45053265910812773
34	0.68	0.4304582768728577
35	0.7000000000000001	0.40885636897027516
36	0.72	0.3880867672365306
37	0.74	0.3674599373540954
38	0.76	0.34677038736409393
39	0.78	0.3249689670166478
40	0.8	0.3022403551894904
41	0.8200000000000001	0.2803007115071005
42	0.84	0.2610010678104235
43	0.86	0.24003163558160379
44	0.88	0.2191097643571664
45	0.9	0.19807396423448387
46	0.92	0.17669974453104517
47	0.9400000000000001	0.15505791188632886
48	0.96	0.13366943498901393
49	0.98	0.1100509450324164
50	1.0	0.08787753138452258
51	1.02	0.06701324395883473
52	1.04	0.04635008219735627
53	1.06	0.023486781745011998
54	1.08	1.0569556428371583e-05
55	1.1	-0.02364428502266454
56	1.12	-0.04624383036549077
57	1.1400000000000001	-0.06575369766030027
58	1.16	-0.08501791862247726
59	1.18	-0.10570615099773233
60	1.2	-0.12515827328003204
61	1.22	-0.14506771331580995
62	1.24	-0.1636613100829245
63	1.26	-0.1826623263547294
64	1.28	-0.20136138212998883
65	1.3	-0.21943697969095013
66	1.32	-0.23780937030115945
67	1.34	-0.2555525193283263
68	1.36	-0.2751223701337945
69	1.3800000000000001	-0.2944737769616132
70	1.4000000000000001	-0.31140577805401715
71	1.42	-0.32570220309638914
72	1.44	-0.3397930757396874
73	1.46	-0.353634287831031
74	1.48	-0.3664624169786957
75	1.5	-0.37694017293637977
76	1.52	-0.3858478364049097
77	1.54	-0.3921094516719284
78	1.56	-0.397090334813069
79	1.58	-0.4003232133002108
80	1.6	-0.4019872122738149
81	1.62	-0.4040708417904144
82	1.6400000000000001	-0.4073078135640116
83	1.6600000000000001	-0.40864121913894186
84	1.68	-0.4092056217321819
85	1.7	-0.4081174403520197
86	1.72	-0.4065252541140785
87	1.74	-0.40460947865122915
88	1.76	-0.4044810117204687
89	1.78	-0.40434588514124237
90	1.8	-0.40284817879759577
91	1.82	-0.40030366159344044
92	1.84	-0.39673909770560184
93	1.86	-0.3932677077910954
94	1.8800000000000001	-0.3912044116431822
95	1.9000000000000001	-0.3887068695206484
96	1.92	-0.3859245636722942
97	1.94	-0.3841630221175568
98	1.96	-0.3832587918834424
99	1.98	-0.3807428073429244
100	2.0	-0.37602975568275837
101	2.02	-0.37133965880619907
102	2.04	-0.36950620373757137
103	2.06	-0.3689169393502432
104	2.08	-0.36697463654324786
105	2.1	-0.3626700950343493
106	2.12	-0.3584699616313013
107	2.14	-0.35476103255768354
108	2.16	-0.35094084023898287
109	2.18	-0.345823590251397
110	2.2	-0.3411352428049988
111	2.22	-0.3386696892330574
112	2.24	-0.33670263032541603
113	2.2600000000000002	-0.3318268232271765
114	2.2800000000000002	-0.32619409325270476
115	2.3000000000000003	-0.32098201588392344
116	2.32	-0.31726145740738526
117	2.34	-0.31179232240463584
118	2.36	-0.3058166854620971
119	2.38	-0.2991570792683115
120	2.4	-0.29217870489856745
