lag_analyzed_frames	lag_coordinate	acf
0	0.0	1.0
1	0.02	0.9763439862561355
2	0.04	0.970655691313118
3	0.06	0.966985600956072
4	0.08	0.9598704954357756
5	0.1	0.9527515969798606
6	0.12	0.9446432762948217
7	0.14	0.9344443779227875
8	0.16	0.9265489683291354
9	0.18	0.9131894079253502
10	0.2	0.9013765793423141
11	0.22	0.8866242851335301
12	0.24	0.8732682138179184
13	0.26	0.8587628086395691
14	0.28	0.8427817026118978
15	0.3	0.8284243018342411
16	0.32	0.8124383262144046
17	0.34	0.7925582359608447
18	0.36	0.7773941396889565
19	0.38	0.7559859829239287
20	0.4	0.7349085184692798
21	0.42	0.7149056579719331
22	0.44	0.6931571604895123
23	0.46	0.6716775324577386
24	0.48	0.6494854617346482
25	0.5	0.6270457577591448
26	0.52	0.6063503698075771
27	0.54	0.5806479432413596
28	0.56	0.5569952647097726
29	0.58	0.5342870271922364
30	0.6	0.5097589877470969
31	0.62	0.4842113798486201
32	0.64	0.45941621995358134
33	0.66	0.43350266689906575
34	0.68	0.410095282691074
35	0.7000000000000001	0.3805081771874681
36	0.72	0.3543803488797495
37	0.74	0.3308333678623963
38	0.76	0.30500814636135254
39	0.78	0.27567653615787413
40	0.8	0.25189847463717696
41	0.8200000000000001	0.22436730915637632
42	0.84	0.1963154766518
43	0.86	0.1707945316077739
44	0.88	0.1468406689423111
45	0.9	0.11809272846499026
46	0.92	0.09423449195983742
47	0.9400000000000001	0.06668879611553563
48	0.96	0.04027689415209253
49	0.98	0.017651579070769252
50	1.0	-0.008136292312691312
51	1.02	-0.036397751613517076
52	1.04	-0.06135586162917235
53	1.06	-0.08584369274839285
54	1.08	-0.1087112425882627
55	1.1	-0.13133754628592287
56	1.12	-0.1516043079281843
57	1.1400000000000001	-0.1783915512846483
58	1.16	-0.19823135463234734
59	1.18	-0.2218594051171382
60	1.2	-0.24166898054184827
61	1.22	-0.2636862142774996
62	1.24	-0.2821069450739283
63	1.26	-0.3015589708083357
64	1.28	-0.32123610027749294
65	1.3	-0.340977384996435
66	1.32	-0.3595585342941073
67	1.34	-0.3771045871596908
68	1.36	-0.39363282815985723
69	1.3800000000000001	-0.41102586086916393
70	1.4000000000000001	-0.4262105937450171
71	1.42	-0.4395524440522674
72	1.44	-0.4550921819990299
73	1.46	-0.4694636829994885
74	1.48	-0.4828822890535969
75	1.5	-0.4949673170344778
76	1.52	-0.5072019909804901
77	1.54	-0.5181798651750403
78	1.56	-0.527362856313
79	1.58	-0.5371400943628775
80	1.6	-0.5491019432261964
81	1.62	-0.5558879958652598
82	1.6400000000000001	-0.564775737791574
83	1.6600000000000001	-0.5721207726856938
84	1.68	-0.5777876966426508
85	1.7	-0.583871624289267
86	1.72	-0.588076038669863
87	1.74	-0.5910907640336454
88	1.76	-0.5929190236218375
89	1.78	-0.5953433310874527
90	1.8	-0.597991089261148
91	1.82	-0.6005235849970268
92	1.84	-0.5985700966172888
93	1.86	-0.5985939497600619
94	1.8800000000000001	-0.5980316537426148
95	1.9000000000000001	-0.5964225758790812
96	1.92	-0.592274642369851
97	1.94	-0.5912716352779285
98	1.96	-0.5871582695650529
99	1.98	-0.5848966432027659
100	2.0	-0.5785492939439926
101	2.02	-0.5737085273488928
102	2.04	-0.5689468914859799
103	2.06	-0.5624313819806868
104	2.08	-0.5539091295890888
105	2.1	-0.545770228712752
106	2.12	-0.5371099510599509
107	2.14	-0.528254499733846
108	2.16	-0.5191188356566696
109	2.18	-0.5101907262558769
110	2.2	-0.5019440393331218
111	2.22	-0.4904829728240297
112	2.24	-0.4808887521369399
113	2.2600000000000002	-0.47313808606778834
114	2.2800000000000002	-0.4630341800135496
115	2.3000000000000003	-0.4497225949034941
116	2.32	-0.43686704592394643
117	2.34	-0.42608556237174566
118	2.36	-0.41273494484624057
119	2.38	-0.4022678634164734
120	2.4	-0.38867223233956927
