lag_analyzed_frames	lag_coordinate	acf
0	0.0	1.0
1	0.02	0.9785062321517262
2	0.04	0.9694587785896653
3	0.06	0.9633641400540135
4	0.08	0.9554489897767253
5	0.1	0.946752965749791
6	0.12	0.9368395824008287
7	0.14	0.9253965553532324
8	0.16	0.9138817028713804
9	0.18	0.9014904358453726
10	0.2	0.8862997495198391
11	0.22	0.8717564061467944
12	0.24	0.8587852583444088
13	0.26	0.8423373591160385
14	0.28	0.8246662358404505
15	0.3	0.808095465953849
16	0.32	0.7877805550464552
17	0.34	0.7695369705047261
18	0.36	0.752039969356264
19	0.38	0.7306911293179081
20	0.4	0.7082151135527314
21	0.42	0.6879144177892399
22	0.44	0.6630190476349478
23	0.46	0.6399873546647455
24	0.48	0.6169632207884853
25	0.5	0.5891140961903306
26	0.52	0.5647837170205678
27	0.54	0.5392961595881287
28	0.56	0.5126457762209822
29	0.58	0.48739845104187485
30	0.6	0.4598528514884898
31	0.62	0.4337032209477233
32	0.64	0.40639413143333114
33	0.66	0.3793024110925448
34	0.68	0.35179432347520956
35	0.7000000000000001	0.3241593392265327
36	0.72	0.29838267069962415
37	0.74	0.27009066300418505
38	0.76	0.24060326113834477
39	0.78	0.21524294180282968
40	0.8	0.18630762546651317
41	0.8200000000000001	0.15829617416911992
42	0.84	0.12921342064366922
43	0.86	0.10087184081180312
44	0.88	0.07282623204860914
45	0.9	0.04393424079784661
46	0.92	0.017584565984196478
47	0.9400000000000001	-0.011260177190746809
48	0.96	-0.03718727354195539
49	0.98	-0.06463246998386826
50	1.0	-0.09226293661837108
51	1.02	-0.11863015878662045
52	1.04	-0.14466786573328705
53	1.06	-0.17118765937231437
54	1.08	-0.19865628641621172
55	1.1	-0.22300500089237335
56	1.12	-0.24929955192148556
57	1.1400000000000001	-0.2745026390931409
58	1.16	-0.2964859408563834
59	1.18	-0.31974379549337933
60	1.2	-0.3420912241946023
61	1.22	-0.363714805874472
62	1.24	-0.38541699050699185
63	1.26	-0.40589318713550787
64	1.28	-0.4292759741229806
65	1.3	-0.4494500673691973
66	1.32	-0.4676243530550881
67	1.34	-0.4867612788632866
68	1.36	-0.5067374887707172
69	1.3800000000000001	-0.5235448831892909
70	1.4000000000000001	-0.5381795970170796
71	1.42	-0.5575135257987682
72	1.44	-0.5737933177134052
73	1.46	-0.5881664240857369
74	1.48	-0.6011984179554454
75	1.5	-0.6151643174469071
76	1.52	-0.6264571683598905
77	1.54	-0.6390088132217802
78	1.56	-0.6505859015888606
79	1.58	-0.6604381069283708
80	1.6	-0.6701151647378919
81	1.62	-0.6792712976422045
82	1.6400000000000001	-0.6843015064061078
83	1.6600000000000001	-0.6935072911344108
84	1.68	-0.6989954546928366
85	1.7	-0.7041075340583423
86	1.72	-0.7105723147808457
87	1.74	-0.7142268868979547
88	1.76	-0.7174903115729409
89	1.78	-0.7192636807056639
90	1.8	-0.7201989594900639
91	1.82	-0.721512864203384
92	1.84	-0.7229294281280882
93	1.86	-0.7225121444854549
94	1.8800000000000001	-0.7195918711826377
95	1.9000000000000001	-0.7178498602922261
96	1.92	-0.7134381733878103
97	1.94	-0.7090606644274717
98	1.96	-0.703915189207421
99	1.98	-0.698413759652819
100	2.0	-0.6898994490149527
101	2.02	-0.6843628629922869
102	2.04	-0.6778878314928548
103	2.06	-0.6680631665092378
104	2.08	-0.660402885361915
105	2.1	-0.6495350975016533
106	2.12	-0.6389077438796377
107	2.14	-0.6297758352954916
108	2.16	-0.6185853129430321
109	2.18	-0.6046133100925478
110	2.2	-0.5920463881444871
111	2.22	-0.5772093938371788
112	2.24	-0.5657674736694475
113	2.2600000000000002	-0.5513240188908357
114	2.2800000000000002	-0.5371615144645716
115	2.3000000000000003	-0.5219951942948099
116	2.32	-0.5084724284679366
117	2.34	-0.49322904724427447
118	2.36	-0.47499457087699576
119	2.38	-0.457592838307828
120	2.4	-0.441920702495746
121	2.42	-0.4228541755217478
122	2.44	-0.40573427188771766
123	2.46	-0.38762767410969867
124	2.48	-0.3678720208799576
125	2.5	-0.34949596172217706
126	2.52	-0.33097185135343654
127	2.54	-0.31206630298457594
128	2.56	-0.29212473798065236
129	2.58	-0.2710419813050287
130	2.6	-0.25366571124429305
131	2.62	-0.2352606036986213
132	2.64	-0.21540367891767054
133	2.66	-0.1942200439072943
134	2.68	-0.17712347563850986
135	2.7	-0.1561450687620966
136	2.72	-0.1361783338460879
137	2.74	-0.11761631467682637
138	2.7600000000000002	-0.09916930555581083
139	2.7800000000000002	-0.07895861023883208
140	2.8000000000000003	-0.05868838377785024
141	2.82	-0.040016548148814744
142	2.84	-0.020624954735393077
143	2.86	-0.0014483158954725238
144	2.88	0.018262440069723062
145	2.9	0.03669183676780922
146	2.92	0.05465832617812642
147	2.94	0.07385018896740286
148	2.96	0.09081831591920364
149	2.98	0.10772507813974569
150	3.0	0.1255346176069753
151	3.02	0.14171590901648493
152	3.04	0.15850777686475895
153	3.06	0.1756510728922515
154	3.08	0.19180683458698977
155	3.1	0.20597598031933537
156	3.12	0.22154298352650248
157	3.14	0.23562655421021117
158	3.16	0.24926665536328657
159	3.18	0.2623652831538204
160	3.2	0.276288186220249
161	3.22	0.2891255351688344
162	3.24	0.2999011707527512
163	3.2600000000000002	0.3118698069002136
164	3.2800000000000002	0.32470664657849146
165	3.3000000000000003	0.33415509530583165
166	3.3200000000000003	0.34570280050272223
167	3.34	0.3559165423681694
168	3.36	0.3654822146186611
169	3.38	0.37634644212815255
170	3.4	0.38337427396778395
171	3.42	0.3903591593839763
172	3.44	0.39865822863817607
173	3.46	0.40588417081662426
174	3.48	0.41175842931301415
175	3.5	0.417318740171337
176	3.52	0.42315601909352835
177	3.54	0.42708604156755997
178	3.56	0.42925675685044
179	3.58	0.43312813320873556
180	3.6	0.435538899394098
