lag_analyzed_frames	lag_coordinate	acf
0	0.0	1.0
1	0.02	0.9731862224307382
2	0.04	0.9636161170281274
3	0.06	0.9562329324287894
4	0.08	0.9447985597790823
5	0.1	0.9356287175689838
6	0.12	0.9247203585172196
7	0.14	0.9122756592235284
8	0.16	0.897436792625748
9	0.18	0.8837212899473371
10	0.2	0.8689883883046461
11	0.22	0.8532122019953674
12	0.24	0.8363534615081132
13	0.26	0.816483407639264
14	0.28	0.7999709997242366
15	0.3	0.7802772108984356
16	0.32	0.7596571730679079
17	0.34	0.7388604851363492
18	0.36	0.715358313865011
19	0.38	0.6953451790691818
20	0.4	0.6714560519202833
21	0.42	0.6487043425695768
22	0.44	0.6254058025857335
23	0.46	0.6012788743673695
24	0.48	0.5768552659931183
25	0.5	0.5549488494729574
26	0.52	0.5283184636271439
27	0.54	0.49940948034616794
28	0.56	0.4756483737873337
29	0.58	0.45018620134077736
30	0.6	0.42304610532046844
31	0.62	0.39941424139691983
32	0.64	0.3716505988834138
33	0.66	0.3404405154354664
34	0.68	0.31474810352099897
35	0.7000000000000001	0.2869799794537843
36	0.72	0.25925992990811475
37	0.74	0.23186478850813347
38	0.76	0.20398838093949667
39	0.78	0.17575897662153797
40	0.8	0.144286736390537
41	0.8200000000000001	0.11821395679190545
42	0.84	0.0899396680321273
43	0.86	0.06209802204850032
44	0.88	0.03611744172596334
45	0.9	0.006433221050972705
46	0.92	-0.018004472143785262
47	0.9400000000000001	-0.045866192477449885
48	0.96	-0.07417971652787196
49	0.98	-0.10087470911911503
50	1.0	-0.12812229057373986
51	1.02	-0.15348438021986294
52	1.04	-0.17821922920247726
53	1.06	-0.202778464003534
54	1.08	-0.22824362535859707
55	1.1	-0.2552432532913451
56	1.12	-0.2779945514960945
57	1.1400000000000001	-0.2994259709240997
58	1.16	-0.3246429757306111
59	1.18	-0.3478877126576488
60	1.2	-0.3682699499871905
61	1.22	-0.38919668104570365
62	1.24	-0.40987277850248427
63	1.26	-0.4299751261669963
64	1.28	-0.44971607902611255
65	1.3	-0.4686634070594081
66	1.32	-0.48639030363309627
67	1.34	-0.5062263539988464
68	1.36	-0.518638352663743
69	1.3800000000000001	-0.5354933725075236
70	1.4000000000000001	-0.5523367856737778
71	1.42	-0.5668724439053394
72	1.44	-0.5803692877433301
73	1.46	-0.5925477708877437
74	1.48	-0.6068085749754794
75	1.5	-0.616640797731385
76	1.52	-0.6276179397175254
77	1.54	-0.6358571597706801
78	1.56	-0.6440164751084964
79	1.58	-0.65112331316341
80	1.6	-0.6591809414261554
81	1.62	-0.666732230237502
82	1.6400000000000001	-0.6716429319190799
83	1.6600000000000001	-0.6767569639012422
84	1.68	-0.6834002098677762
85	1.7	-0.6838092973669522
86	1.72	-0.6900279080363665
87	1.74	-0.6874315706406797
88	1.76	-0.6875861879205432
89	1.78	-0.6896176046286905
90	1.8	-0.6930806456655703
91	1.82	-0.6941830947454365
92	1.84	-0.6916612270264153
93	1.86	-0.6857082632151426
94	1.8800000000000001	-0.6805941906201077
95	1.9000000000000001	-0.6782208842304785
96	1.92	-0.6721946571126857
97	1.94	-0.6680821866097393
98	1.96	-0.6599884663491232
99	1.98	-0.6519696336870725
100	2.0	-0.642994586311234
101	2.02	-0.6365338821185688
102	2.04	-0.6272707194498702
103	2.06	-0.618513871840946
104	2.08	-0.6072699729414689
105	2.1	-0.5983554738037689
106	2.12	-0.5891713208748607
107	2.14	-0.5749274559588149
108	2.16	-0.5628368153590471
109	2.18	-0.5508773464110246
110	2.2	-0.5391619732776386
111	2.22	-0.5250319206373747
112	2.24	-0.5106866481513717
113	2.2600000000000002	-0.495626249363465
114	2.2800000000000002	-0.4809110938781201
115	2.3000000000000003	-0.4663203261611724
116	2.32	-0.4514353016762974
117	2.34	-0.4354232162933014
118	2.36	-0.41723150071156573
119	2.38	-0.39964619303563065
120	2.4	-0.385429917921602
121	2.42	-0.3679697221443175
122	2.44	-0.3509774341314854
123	2.46	-0.3327668706004816
124	2.48	-0.31575681982487086
125	2.5	-0.2962602473336685
126	2.52	-0.27846630811549156
127	2.54	-0.26044289419275024
128	2.56	-0.24212912184909657
129	2.58	-0.2248497479013918
130	2.6	-0.20349554050608307
131	2.62	-0.1831917823304304
132	2.64	-0.16629728996493295
133	2.66	-0.14588787113831303
134	2.68	-0.1272662942915954
135	2.7	-0.10998636785643363
136	2.72	-0.09102505297154162
137	2.74	-0.0717541204201735
138	2.7600000000000002	-0.05274016040428379
139	2.7800000000000002	-0.034648590039950244
140	2.8000000000000003	-0.012676907119831318
141	2.82	0.005159144064341913
142	2.84	0.023743807735432
143	2.86	0.04190137427972005
144	2.88	0.05718669312797355
145	2.9	0.0749419339192038
146	2.92	0.09180162396443484
147	2.94	0.10902913927863866
148	2.96	0.12246359132111814
149	2.98	0.1378840228199549
150	3.0	0.1547299099751319
