bin_low_or_state	bin_high	SYNTHETIC_replica_1	SYNTHETIC_replica_2	SYNTHETIC_replica_3
-180.0	-168.75	0.36333333333333334	0.3541666666666667	0.2833333333333333
-168.75	-157.5	0.0	0.0	0.0
-157.5	-146.25	0.0	0.0	0.0
-146.25	-135.0	0.0	0.0	0.0
-135.0	-123.75	0.0	0.0	0.0
-123.75	-112.5	0.0	0.0	0.0
-112.5	-101.25	0.0	0.0	0.0
-101.25	-90.0	0.0	0.0	0.0
-90.0	-78.75	0.0	0.0	0.0
-78.75	-67.5	0.0	0.0	0.0
-67.5	-56.25	0.0	0.0	0.0
-56.25	-45.0	0.0	0.0	0.0
-45.0	-33.75	0.0	0.0	0.0
-33.75	-22.5	0.0	0.0	0.0
-22.5	-11.25	0.0	0.0	0.0
-11.25	0.0	0.0	0.0	0.0
0.0	11.25	0.0	0.0	0.0
11.25	22.5	0.0	0.0	0.0
22.5	33.75	0.0	0.0	0.0
33.75	45.0	0.0	0.0	0.0
45.0	56.25	0.0	0.0	0.0
56.25	67.5	0.0	0.0	0.0
67.5	78.75	0.0	0.0	0.0
78.75	90.0	0.0	0.0	0.0
90.0	101.25	0.0	0.0	0.0
101.25	112.5	0.0	0.0	0.0
112.5	123.75	0.0	0.0	0.0
123.75	135.0	0.0	0.0	0.0
135.0	146.25	0.0	0.0	0.0
146.25	157.5	0.0	0.0	0.0
157.5	168.75	0.33666666666666667	0.29583333333333334	0.35555555555555557
168.75	180.0	0.3	0.35	0.3611111111111111
