replica	analysis	section	series	unit	bin_left	bin_right	count	n_finite	probability	probability_density	geometry
SYNTHETIC_replica_1	SYNTHETIC RMSD	protein backbone	RMSD	angstrom	1.3177925	1.344027344	2	300	0.006666666667	0.2541149751	linear
SYNTHETIC_replica_1	SYNTHETIC RMSD	protein backbone	RMSD	angstrom	1.344027344	1.370262187	1	300	0.003333333333	0.1270574876	linear
SYNTHETIC_replica_1	SYNTHETIC RMSD	protein backbone	RMSD	angstrom	1.370262187	1.396497031	4	300	0.01333333333	0.5082299502	linear
SYNTHETIC_replica_1	SYNTHETIC RMSD	protein backbone	RMSD	angstrom	1.396497031	1.422731875	3	300	0.01	0.3811724627	linear
SYNTHETIC_replica_1	SYNTHETIC RMSD	protein backbone	RMSD	angstrom	1.422731875	1.448966719	7	300	0.02333333333	0.8894024129	linear
SYNTHETIC_replica_1	SYNTHETIC RMSD	protein backbone	RMSD	angstrom	1.448966719	1.475201562	10	300	0.03333333333	1.270574876	linear
SYNTHETIC_replica_1	SYNTHETIC RMSD	protein backbone	RMSD	angstrom	1.475201562	1.501436406	26	300	0.08666666667	3.303494676	linear
SYNTHETIC_replica_1	SYNTHETIC RMSD	protein backbone	RMSD	angstrom	1.501436406	1.52767125	18	300	0.06	2.287034776	linear
SYNTHETIC_replica_1	SYNTHETIC RMSD	protein backbone	RMSD	angstrom	1.52767125	1.553906094	25	300	0.08333333333	3.176437189	linear
SYNTHETIC_replica_1	SYNTHETIC RMSD	protein backbone	RMSD	angstrom	1.553906094	1.580140937	19	300	0.06333333333	2.414092264	linear
SYNTHETIC_replica_1	SYNTHETIC RMSD	protein backbone	RMSD	angstrom	1.580140937	1.606375781	16	300	0.05333333333	2.032919801	linear
SYNTHETIC_replica_1	SYNTHETIC RMSD	protein backbone	RMSD	angstrom	1.606375781	1.632610625	21	300	0.07	2.668207239	linear
SYNTHETIC_replica_1	SYNTHETIC RMSD	protein backbone	RMSD	angstrom	1.632610625	1.658845469	25	300	0.08333333333	3.176437189	linear
